Topic,Count,Name,CustomName,Representation,OpenAI,Representative_Docs
75,846,75_staatsbürgerschaftsrecht_staatsbürgerschaft_einbürgerung_staatsangehörigkeitsrecht,Staatsangehörigkeitsrecht und Einbürgerungspolitik,"['staatsbürgerschaftsrecht', 'staatsbürgerschaft', 'einbürgerung', 'staatsangehörigkeitsrecht', 'einbürgerungen', 'staatsangehörigkeit', 'staatsangehörigkeitsrechts', 'staatsbürger', 'staatsangehörigkeitsgesetzes', 'staatsangehörigkeitsgesetz']",['Staatsbürgerschaftsrecht und Einbürgerungspolitik'],"['Die deutsche Staatsbürgerschaft darf nur bekommen, wer sich ausdrücklich und konkret zum Existenzrecht Israels bekennt. Und wer die doppelte Staatsbürgerschaft hat und durch antisemitische Handlungen auffällt, dem muss man konsequenterweise die deutsche Staatsbürgerschaft entziehen können. Über allem schwebt doch generell die Konsequenz, dass jemand, der Israelfeindlichkeit und Antisemitismus auf unsere Straßen und Plätze bringt, sich unausweichlich einer Ausweisung gegenübersehen muss.', 'Wer eine doppelte Staatsbürgerschaft hat, könnte im Falle der Strafverfolgung doch schnell gegen Deutschland votieren und seine doppelte Staatsbürgerschaft einfach aufgeben.', 'Ein Satz zur doppelten Staatsbürgerschaft. In Ihren Gesetzentwurf haben Sie was reingemogelt, um die doppelte Staatsbürgerschaft generell zu erlauben. Wer vor dem 30.\xa0März 2019 noch die jeweils andere Staatsbürgerschaft beantragt, soll sich zwischen der deutschen und der britischen Staatsbürgerschaft nicht entscheiden müssen. Er soll einfach beide lebenslang behalten. Ich sage Ihnen: Diese Regelung ist falsch, genauso wie die doppelte Staatsbürgerschaft ein grundsätzlich falsches Konzept ist.']"
76,833,76_südsudan_südsudans_sudan_sudanesische,UN-Mission im Südsudan,"['südsudan', 'südsudans', 'sudan', 'sudanesische', 'sudanesischen', 'friedensmission', 'unamid', 'humanitären', 'humanitäre', 'un']",['UNMISS und Südsudan-Hilfseinsätze'],"['Wir sollten uns daher nicht von den Möglichkeiten von UNMISS, des revitalisierten Friedensabkommens oder des vernetzten Ansatzes täuschen lassen. Im Endeffekt dient UNMISS dazu, die Bevölkerung des Südsudan vor ihren Machthabern zu schützen. Die Existenz dieser Mission erinnert diese daran, dass die Welt ihnen auf die Finger schaut. Ebenfalls bietet UNMISS einen relativ guten Schutz für die Arbeit der Hilfsorganisationen im Land, und sie zeigt den Einwohnern, dass der Südsudan eine bessere Zukunft haben kann\xa0– das aber nur, wenn die gegenwärtigen Machthaber weg sind und wenn die Zerrissenheit der Gesellschaft endlich ein Ende findet. Solange das aber nicht geschieht, wird der Südsudan in einem Teufelskreis aus Gewalt, Armut und Hunger gefangen bleiben. UNMISS kann dazu beitragen, den Menschen im Südsudan eine Zukunft in ihrer Heimat zu bieten und ihnen Wege aus diesem Teufelskreis zu zeigen. Daher stimmen wir dem Mandat zu.', 'Die humanitäre Lage bleibt angespannt. In Darfur leben 2,7\xa0Millionen Binnenvertriebene. 2,3\xa0Millionen Menschen sind auf humanitäre Hilfe angewiesen. Die Folgen des Bürgerkriegs im Südsudan wirken sich ebenfalls destabilisierend auf den Sudan aus. Laut Aussagen des Flüchtlingshilfswerks der Vereinten Nationen, UNHCR, sollen mittlerweile über 200\xa0000\xa0Flüchtlinge vor dem Bürgerkrieg im Südsudan in der Region Darfur Zuflucht gesucht haben. Dies ist ein Faktor, der die ohnehin schwierige Situation weiter verschärft.', 'Ich nenne als Beispiel den Südsudan; darüber werden wir anschließend debattieren. Allein aus dem Südsudan fliehen im Moment jeden Tag 800\xa0Menschen in den Sudan, um sich vor dem Bürgerkrieg zu schützen. Das verschärft im Sudan und in Darfur die Situation. Innerhalb dieser Gemengelage in der Region ist UNAMID der zentrale Stabilitätsfaktor. UNAMID hat als wesentlichen Auftrag den Schutz der Zivilbevölkerung; der Vorredner hat gerade auf die Camps zum Schutz der Zivilbevölkerung hingewiesen. UNAMID ermöglicht überhaupt erst humanitäre Hilfslieferungen und auch, dass Bedürftige tatsächlich erreicht werden. UNAMID überwacht die Menschenrechtslage und ist ein wesentlicher Faktor bei den Versöhnungsanstrengungen der verfeindeten Gruppen in den interkommunalen Konflikten. Deswegen ist es gut, dass es die Mission gibt.']"
77,826,77_petitionsausschusses_petitionsausschuss_petitionsrecht_petitionen,Petitionsausschuss und Bürgerbeteiligung,"['petitionsausschusses', 'petitionsausschuss', 'petitionsrecht', 'petitionen', 'petitionswesen', 'petition', 'parlament', 'bundestag', 'fraktionen', 'ausschusses']",['Petitionsausschuss und Bürgerbeteiligung'],"['Stimmen Sie den anderen Anträgen zu! Stimmen Sie auch den Petitionen zu! Es gibt mittlerweile fünf oder sechs Petitionen genau zu diesem Thema, die schon über 50\u202f000 Unterschriften haben. Dann beschäftigen Sie sich mal mit diesen Petitionen und mit diesen Gruppen!', 'Das hat auch die Debatte im Petitionsausschuss geprägt, aber es waren eben nicht nur Petitionen, die in Ihrem Sinne und mit Ihrer Zielsetzung eingegangen sind, sondern es sind auch sehr viele andere Petitionen eingegangen. Ich finde, das ist ein Beispiel dafür, wie vielfältig, aber auch wie konträr die Arbeit des Petitionsausschusses sein kann, gerade weil das Thema Migration natürlich auch unsere Arbeit im Petitionsausschuss geprägt hat.', 'Es geht Ihnen einmal mehr darum, sich in der Opferrolle zu sehen. Diesmal wird man gefühlt vom Petitionsausschuss schlecht behandelt, da einige Petitionen nicht veröffentlicht werden. Dafür hat sich aber der Petitionsausschuss klare Regeln gegeben. Ich darf aus den Richtlinien des Petitionsausschusses für die Behandlung von öffentlichen Petitionen einmal zitieren: Öffentliche Petitionen werden dann nicht zugelassen, wenn erstens eine Petition „gegen die Menschenwürde verstößt“, zweitens wenn sie „sich einer der Würde des Parlaments nicht angemessenen Sprache bedient“, drittens wenn sie geeignet ist\xa0– das ist eben zitiert worden\xa0– „den sozialen Frieden, die internationalen Beziehungen oder den interkulturellen Dialog zu belasten“.']"
78,784,78_französische_französischer_französischen_frankreich,Deutsch-Französische Zusammenarbeit und europäische Integration,"['französische', 'französischer', 'französischen', 'frankreich', 'frankreichs', 'parlamentsabkommen', 'franzosen', 'europas', 'deutsche', 'paris']",['Deutsch-Französische Partnerschaft und Integration'],"['und ich finde, das schafft kein Vertrauen in eine deutsch-französische Zusammenarbeit.', 'Ja, der Élysée-Vertrag\xa0– Charles de Gaulle und Konrad Adenauer\xa0– war für die deutsch-französische Freundschaft der Grundstein, den wir erhalten wollen und müssen; gar keine Frage.', 'Liebe Kolleginnen und Kollegen, die deutsch-französische Freundschaft ist gut für die Zukunft aufgestellt. Ich finde es unheimlich erfreulich, dass wir mit unseren französischen Kollegen in Deutschland und Frankreich auf Französisch und auf Deutsch gemeinsam an dem Projekt „Europa und deutsch-französische Zukunft“ arbeiten. Wir stehen vor großen Herausforderungen, und dabei hilft es uns sicher, wenn wir auch Deutsch und Französisch sprechen. Es lebe die deutsch-französische Freundschaft! Vive l‘amitié franco-allemande!']"
79,761,79_atomwaffenverbotsvertrag_atomwaffensperrvertrag_nuklearwaffen_atomwaffen,Nukleare Abrüstung und Rüstungskontrolle,"['atomwaffenverbotsvertrag', 'atomwaffensperrvertrag', 'nuklearwaffen', 'atomwaffen', 'atomwaffenfreie', 'atomwaffenfreien', 'nukleare', 'nuklearen', 'abrüstung', 'kernwaffen']",['Nukleare Abrüstung und Rüstungskontrolle'],"['New START ist\xa0– das wissen wir alle, die sich mit der Materie beschäftigen\xa0– nicht ohne Schwächen: Auch wenn Russland und die USA nach wie vor die mit Abstand größten Atommächte dieses Globus sind, versuchen auch andere Staaten\xa0– das wissen wir\xa0–, ihre nukleare Option auszubauen. Trotzdem ist klar, dass eine Welt ohne diesen Vertrag, ohne New START, so sage ich, weit weniger sicher wäre. Mittlerweile ist leider Gottes New START neben Open Skies eines der letzten verbliebenen Abkommen zur Rüstungskontrolle, und zwar zur nuklearen Rüstungskontrolle zwischen den nuklearen Supermächten USA und Russland. Schon deswegen wäre es schade, nein, ein fatales Signal, wenn 2021 New START sang- und klanglos auslaufen würde. Es wäre ein dramatischer Rückschritt für die weltweite Abrüstung. Dies gilt umso mehr, weil derzeit kein Ersatz in Sicht ist.', 'Wir brauchen dringend einen Neustart bei der nuklearen Abrüstung, und der Abzug der Atomwaffen aus Deutschland könnte ein Einstieg dazu sein.', 'Herr Präsident! Liebe Kolleginnen und Kollegen! Atomwaffen sind in der Vorstellung vieler Menschen überflüssig. Dennoch sind Atomwaffen Bestandteil unserer Realität. Atomwaffen sind Teil der Welt, in der wir leben. Gerade deshalb ist ein vernünftiger, ideologiefreier Umgang mit der Frage der nuklearen Abrüstung dringend geboten.']"
80,761,80_deutschlands_deutschland_deutsche_deutschen,Nationale Identität und Zukunftsperspektiven,"['deutschlands', 'deutschland', 'deutsche', 'deutschen', 'bundesrepublik', 'europa', 'uns', 'welt', 'unser', 'den']",['Politische Identität und Zukunftsvisionen'],"['Ich komme zum Schluss.\xa0– Kehren Sie um! Denn Deutschland braucht mit der Alternative für Deutschland\xa0–', 'Sie sind keine Alternative für Deutschland, Sie sind eine Schande für Deutschland.', 'Auch das ist eine Realität in Deutschland, meine Damen und Herren.']"
81,749,81_untersuchungsausschuss_untersuchungsausschüssen_untersuchungsausschüsse_untersuchungsausschusses,Untersuchungsausschüsse und Aufklärung,"['untersuchungsausschuss', 'untersuchungsausschüssen', 'untersuchungsausschüsse', 'untersuchungsausschusses', 'ausschuss', 'untersuchungsauftrag', 'untersuchung', 'aufzuklären', 'bundestag', 'fraktion']",['Untersuchungsausschüsse und Verantwortlichkeit'],"['Insofern lautet die Frage nicht: Kann man einen Untersuchungsausschuss einsetzen? Man muss einen Untersuchungsausschuss einsetzen. Dieser ist so zwingend wie kaum ein zweiter.', 'Aber das ist die Voraussetzung dafür, dass man einen Untersuchungsausschuss einsetzen kann.', 'Dass Ihr Untersuchungsausschuss über Verschwörungstheorien das Letzte ist, was uns jetzt weiterhilft, haben die Kollegen ausführlich gewürdigt. Sie wollen einen Untersuchungsausschuss einrichten, der nachweisen soll, dass Vorkehrungen gegen die Pandemie jede Grundrechtseinschränkung hätten verhindern können. Und gleichzeitig leugnen Mitglieder Ihrer Partei und Ihrer Fraktion zuhauf, dass es diese Pandemie überhaupt gibt. Es tut mir leid, aus diesem Irrsinn kann Ihnen kein Untersuchungsausschuss heraushelfen. Ein Untersuchungsausschuss ist nämlich keine therapeutische Sitzgruppe.']"
82,743,82_linksfraktion_linkspartei_linke_linken,Anträge der Linksfraktion,"['linksfraktion', 'linkspartei', 'linke', 'linken', 'fraktion', 'anträge', 'zustimmen', 'antrag', 'anträgen', 'wollen']",['Anträge der Linksfraktion'],"['Aber warum gehen wir bei dem Antrag der Linken nicht mit?', 'Dann kommen wir zu den Freunden der Linken.', 'Kolleginnen und Kollegen! In dem Antrag der Linken steht:']"
83,735,83_nachhaltigkeitspolitik_nachhaltigkeitsstrategie_nachhaltigkeitsziele_nachhaltigkeitszielen,Nachhaltigkeitspolitik und Entwicklung,"['nachhaltigkeitspolitik', 'nachhaltigkeitsstrategie', 'nachhaltigkeitsziele', 'nachhaltigkeitszielen', 'nachhaltigkeit', 'nachhaltige', 'nachhaltig', 'nachhaltiges', 'nachhaltigen', 'umwelt']",['Nachhaltigkeit und ihre Dimensionen'],"['Im Parlamentarischen Beirat für nachhaltige Entwicklung des Bundestages befassen wir uns immer wieder mit diesen Fragen: Wie können wir Zielkonflikte zwischen einzelnen SDGs auflösen? Und wie nutzen wir die Schnittstellen gewinnbringend? Denn Nachhaltigkeit ist ein Querschnittsthema, das alle Politikbereiche betrifft. Spätestens seit der Coronapandemie bestimmt noch ein drittes Schlagwort die Debatte: Resilienz, also: Wie widerstandsfähig oder krisenfest machen wir unsere Gesellschaft, und wie hängt das mit Nachhaltigkeit zusammen?', 'Was für mich in dieser Debatte klar ist: Ein Beirat für nachhaltige Entwicklung ist nicht genug. Ein Querschnittsthema wie „Nachhaltigkeit und Transformation“ muss zu einem Schwerpunkt in einem Ausschuss im Deutschen Bundestag werden. Es kann nicht sein, dass Nachhaltigkeit nur ein Anhang von Gesetzestexten ist. Wir müssen der Umsetzung der Nachhaltigkeitsziele im Gesetzgebungsverfahren endlich den Raum geben, den sie verdient.', 'Ihrer Nachhaltigkeitsstrategie mangelt es vor allem an Nachhaltigkeit.']"
84,730,84_freihandelsabkommen_handelsabkommen_ceta_handelspolitik,Freihandelsabkommen und CETA,"['freihandelsabkommen', 'handelsabkommen', 'ceta', 'handelspolitik', 'abkommens', 'abkommen', 'handelsbeziehungen', 'verhandlungen', 'freihandel', 'chile']",['Freihandelsabkommen und CETA'],"['Zu CETA: CDU und CSU unterstützen das Freihandelsabkommen CETA mit Kanada uneingeschränkt. Durch die Förderung gemeinsamer Regeln und offener Märkte zielt es darauf ab, den Wohlstand der Handelspartner zu sichern und auszubauen, mit fairen und guten Regeln, wichtig gerade in einer fortschreitenden Globalisierung. Eine zügige Ratifizierung von CETA ist auch ein wichtiges politisches Signal gerade jetzt, und es ist auch eine Absicherung für Kanada und Europa gegenüber den USA.', 'Auch bei TTIP und CETA gab es ähnliche Kampagnen. Auch hier\xa0– das muss ich leider sagen\xa0– haben die Grünen und die Linken mit der Angst der Menschen gespielt, um diese Handelsabkommen zu verhindern. Das ist bei TTIP dann leider gelungen, beim Abkommen mit Kanada, CETA, Gott sei Dank nicht. Und siehe da, nach einem Jahr CETA hört man keinerlei Beschwerden. Deswegen ist es auch gut, dass es heute im Übrigen einen Startschuss für ein Freihandelsabkommen mit Japan geben wird.', 'ob es das Mercosur-Abkommen ist oder das TTIP-Abkommen.']"
85,720,85_rüstungsexportpolitik_waffenexporte_rüstungsexportkontrollgesetz_rüstungsexporte,Rüstungsexportkontrolle und -politik,"['rüstungsexportpolitik', 'waffenexporte', 'rüstungsexportkontrollgesetz', 'rüstungsexporte', 'waffenlieferungen', 'rüstungsexporten', 'rüstungsexportkontrolle', 'rüstungsexportrichtlinien', 'kriegswaffen', 'waffen']",['Rüstungsexportkontrollgesetz und Waffenlieferungen'],"['Unionsgeführte Bundesregierungen haben stets eine restriktive und verantwortungsvolle Rüstungspolitik betrieben und im Einzelfall stets abgewogen entschieden. Die Ausfuhr aller Rüstungsgüter ist genehmigungspflichtig, die Leitplanken sind klar und öffentlich bekannt: die außen-, sicherheits- und menschenrechtspolitischen Aspekte im Rahmen des Kriegswaffenkontrollgesetzes, das Außenwirtschaftsgesetz und die Außenwirtschaftsverordnung, die Politischen Grundsätze der Bundesregierung für den Export von Kriegswaffen und sonstigen Rüstungsgütern und der Gemeinsame Standpunkt des Rates der EU. Zudem sorgen die parlamentarische Vorlage der jährlichen Rüstungsexport- sowie der Zwischenberichte für besondere Transparenz in der Rüstungsexportpolitik\xa0– ein bewährtes hohes Gut der parlamentarischen Kontrolle. Regierungshandeln muss aber auch schnelles Handeln ermöglichen.', 'und im Lichte der jeweiligen Situation nach sorgfältiger Prüfung und unter Einbeziehung außen- und sicherheitspolitischer Erwägungen. Grundlage sind die rechtlichen Vorgaben des Gesetzes über die Kontrolle von Kriegswaffen, des Außenwirtschaftsgesetzes und der Außenwirtschaftsverordnung, der Gemeinsame Standpunkt des Rates der Europäischen Union vom 8.\xa0Dezember 2008 betreffend gemeinsame Regeln für die Kontrolle der Ausfuhr von Militärtechnologie und Militärgütern, der Vertrag über den Waffenhandel\xa0– „Arms Trade Treaty“\xa0– sowie die am 26.\xa0Juni 2019 in geschärfter Form verabschiedeten Politischen Grundsätze der Bundesregierung für den Export von Kriegswaffen und sonstigen Rüstungsgütern. Die Politischen Grundsätze\xa0– Frau Keul, das kann ich Ihnen auch heute nicht ersparen\xa0– wurden 2000 unter einer rot-grünen Bundesregierung verfasst. Streitpunkt war ja damals\xa0– Frau Dağdelen hat gerade daran erinnert\xa0– die Panzerlieferung an den NATO-Partner Türkei. Die Grünen befürchteten einen Einsatz der Panzer als Mittel der inneren Repression, und die SPD hielt dem entgegen: unbeschränkte Lieferung an NATO-Partner, weil das das Grundprinzip des Bündnisses ist.', 'Über die Erteilung von Genehmigungen für Rüstungsexporte entscheidet die Bundesregierung im Einzelfall und im Lichte der jeweiligen Situation nach sorgfältiger Prüfung unter Einbeziehung außen- und sicherheitspolitischer Erwägungen. Die Grundlagen kennen Sie alle: Gesetz über die Kontrolle von Kriegswaffen, Außenwirtschaftsgesetz, Außenwirtschaftsverordnung, Gemeinsamer Standpunkt des Rates der Europäischen Union vom 8.\xa0Dezember 2008 betreffend gemeinsame Regeln, der Vertrag über den Waffenhandel, also The Arms Trade Treaty, sowie die am 26.\xa0Juni 2019 in verschärfter Form verabschiedeten Politischen Grundsätze der Bundesregierung für den Export von Kriegswaffen und sonstigen Rüstungsgütern.']"
86,716,86_arzneimittelversorgung_apotheke_apothekerinnen_apotheken,Arzneimittelversorgung und Apothekenstärkung,"['arzneimittelversorgung', 'apotheke', 'apothekerinnen', 'apotheken', 'apothekern', 'apotheker', 'pharmazeutischen', 'pharmazeutische', 'arzneimittel', 'arzneimitteln']",['Arzneimittelversorgung und Apothekensterben'],"['Man hat bei Gesundheitsminister Karl Lauterbach manchmal das Gefühl: Ein Karl Lauterbach hört nur auf seinen eigenen Rat. Dabei haben Sie das Apothekenproblem immer weiter verschärft. Die Problematiken sind ja schon seit Längerem bekannt. Wir haben ein massives Apothekensterben; es sind so wenige Apotheken wie seit 40\xa0Jahren nicht mehr. In den letzten zehn Jahren sind über 3\u202f000 Apotheken geschlossen worden, die der Versorgung unwiederbringlich verloren gehen. Durch Ihr GKV-Finanzstabilisierungsgesetz vom letzten Jahr haben Sie den Apothekenabschlag noch einmal erhöht. Das betrifft jede Apotheke mit ungefähr 600\xa0Euro im Monat. Also, Sie entziehen den Apotheken noch zusätzlich Geld, was sie brauchen würden, um die Apotheken am Laufen zu halten.', 'Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Auch wir als FDP-Fraktion setzen uns für eine Stärkung der Vor-Ort-Apotheken ein; denn Apotheken sind wichtig für eine sichere und flächendeckende Arzneimittelversorgung unserer Patienten.', 'Herr Präsident! Meine sehr verehrten Damen und Herren! Wir wissen alle: Wir brauchen eine flächendeckende Arzneimittelversorgung. Gerade wer auf dem Land wohnt, weiß, wie wichtig der Apotheker vor Ort ist, wie wichtig es ist, dass es einen Apotheker gibt, der Ansprechpartner ist. Wir brauchen dessen qualifizierte Beratung. Deshalb haben wir dafür gesorgt, dass zusätzliche pharmazeutische Dienstleistungen wie Präventionsangebote oder die Medikationsanalyse besser honoriert werden. Botendienste der Apotheken werden jetzt unbefristet bezahlt. Wir schaffen damit einen zusätzlichen finanziellen Spielraum für die Apotheker und Apothekerinnen. Eines dürfen wir auch nicht vergessen: Wir haben letztes Jahr schon die Nacht- und Notdienstvergütung erhöht. So stärken wir, meine sehr verehrten Damen und Herren, in dieser Koalition die Apotheken vor Ort umfassend.']"
87,715,87_bundeskanzler_bundeskanzlerin_kanzlerin_kanzler,Regierungserklärung und Kanzleramt,"['bundeskanzler', 'bundeskanzlerin', 'kanzlerin', 'kanzler', 'kanzleramt', 'bundeskanzlers', 'regierungserklärung', 'bundesregierung', 'rede', 'regierung']",['Regierungserklärungen und Kanzlerschaft'],"['Sie haben sich trotzdem hinter Frau Merkel gestellt.', 'Dann, Herr Frei, müsste Ihre Kanzlerin, Frau Merkel,', 'Warum haben wir die nicht? Weil Sie Frau Merkel gestützt haben.']"
88,713,88_behindertenpolitik_barrierefreiheitsstärkungsgesetz_behindertenrechtskonvention_bundesteilhabegesetzes,Barrierefreiheit und Behindertenrechte,"['behindertenpolitik', 'barrierefreiheitsstärkungsgesetz', 'behindertenrechtskonvention', 'bundesteilhabegesetzes', 'bundesteilhabegesetz', 'behinderungen', 'behinderung', 'teilhabeberatung', 'barrierefreiheit', 'eingliederungshilfe']",['Inklusion und Barrierefreiheitspolitik'],"['Doch was bedeutet Barrierefreiheit? Nach dem Gesetz sind etwa Gebäude, Verkehrsmittel, Systeme barrierefrei, wenn sie für Menschen mit Behinderungen ohne fremde Hilfe auffindbar, zugänglich und nutzbar sind. Mit anderen Worten: Barrierefreiheit ermöglicht ein selbstständiges Leben. Es ermöglicht Teilhabe.', 'Meine sehr geehrten Damen und Herren, zu denen, die unserer besonderen Unterstützung bedürfen, gehören auch die Menschen mit Behinderung. Wir haben mit dem Bundesteilhabegesetz in der letzten Legislaturperiode einen großen Schritt gemacht. Aber jetzt kommt es darauf an, dieses Gesetz auch in der Realität umzusetzen. Das heißt für mich vor allen Dingen, die Teilhabe an Ausbildung und Arbeit für Menschen mit Behinderungen voranzubringen\xa0– die Verlängerung der Assistierten Ausbildung ist zum Beispiel ein wichtiger Punkt\xa0– und außerdem die Teilhabe dadurch zu ermöglichen, dass wir durch Investitionen im öffentlichen Raum und allen Bereichen des Alltags Barrierefreiheit wirklich möglich machen. Das zentrale Ziel ist für mich: Wir wollen eine inklusive Gesellschaft schaffen und in den kommenden Jahren einen großen Schritt in Sachen Barrierefreiheit und bei der Teilhabe von Menschen mit Behinderungen vorankommen.', 'Wir fordern mehr Tempo bei der Barrierefreiheit; mehr Qualität der Rechte für Menschen mit Behinderungen; einkommensunabhängige, aber bedarfsdeckende Leistungen zur Inklusion; Barrierefreiheit in allen Lebensbereichen.']"
89,706,89_datenschutzes_datenschutz_privacy_datenschutzbeauftragten,Datenschutz und Datennutzung,"['datenschutzes', 'datenschutz', 'privacy', 'datenschutzbeauftragten', 'datenschutzcockpit', 'privatsphäre', 'datennutzung', 'data', 'daten', 'datenverarbeitung']",['Datenschutz und Datenökonomie'],"['Und weil hier schon ein paarmal von den Seiten ganz rechts und ganz links des Hauses die Frage der Datennutzung, des Missbrauchs angesprochen wurde: Das sind ja Horrorszenarien, die so nicht zutreffen. Ich möchte hier einmal ganz klar sagen: Wir haben in Deutschland ein sehr hohes Datenschutzniveau. Wir werden oft für die Datenschutz-Grundverordnung gescholten; sie sei kompliziert und nicht handhabbar und vieles mehr. Sie führt aber zu Vertrauen in staatliche und in öffentliche Stellen, die Daten verarbeiten. Das ist nämlich die Erfolgsgeschichte der Datenschutz-Grundverordnung. Mit dem Gesetz zum Neustart der Digitalisierung der Energiewende sorgen wir für noch mal mehr Datenschutz über die DSGVO hinaus. Das sorgt für Transparenz und Sicherheit.', 'Ich sage also: Die Datenschutz-Grundverordnung ist kein Grund zur Panik. Aber sie ist ein guter Anlass zum Aufräumen.\xa0– Na ja, wer räumt schon gerne auf? Aufräumen heißt hier, dass wir uns bewusst machen: Welche Daten besitzen wir? Welche Daten, insbesondere natürlich personenbezogene Daten, brauchen wir? Der Kollege, der davon gesprochen hat, dass das Datenschutzrecht offensichtlich fehle, sprach ja von nicht personenbezogenen Daten. Die sind von der Datenschutz-Grundverordnung gar nicht betroffen. Bitte immer schön auseinanderhalten!', 'während er im Bereich der Umsetzung der Datenschutz-Grundverordnung gleichzeitig für Erleichterung sorgt:']"
90,698,90_suizidhilfe_suizidbeihilfe_suizidprävention_suizidassistenz,Selbstbestimmtes Sterben und Suizidhilfe,"['suizidhilfe', 'suizidbeihilfe', 'suizidprävention', 'suizidassistenz', 'sterbehilfe', 'suizid', 'palliativmedizin', 'selbsttötung', 'sterbewilligen', 'bundesverfassungsgericht']",['Assistierter Suizid und Palliativmedizin'],"['Ich befürchte, dass Druck entstünde, wenn der assistierte Suizid ein Normalfall wäre. Und ich will nicht, dass wir bundesweit Suizidberatungsstellen haben, die den assistierten Suizid befördern. Stattdessen brauchen wir bundesweit Suizidprävention.', 'Das Bundesverfassungsgericht hat in seinem Urteil den assistierten Suizid legalisiert, uns aber auch vor schwerwiegende Fragen gestellt, und diese Fragen diskutieren wir aus meiner Sicht noch zu wenig: Was bedeutet selbstbestimmtes Sterben denn konkret? Und wie sichern wir als Gesetzgeber auch in Grenzsituationen den freien Willen des Einzelnen?', 'Ich bin mir bewusst, das ist für jeden und jede von uns keine leichte Entscheidung, insbesondere weil wir unser Votum vor dem Hintergrund des Urteils des Bundesverfassungsgerichts vom 26.\xa0Februar 2020 treffen müssen, mit dem sich die Karlsruher Richter grundlegend und sehr weitgehend zum Umgang mit dem assistierten Suizid geäußert haben. Mit seinem Urteil hat das Bundesverfassungsgericht eine Art Grundrecht auf Suizid und der Hilfe dazu konstituiert. Diese sehr weitgehende Entscheidung bereitet vielen\xa0– ich nehme mich da nicht aus\xa0– Kopfzerbrechen. Die Frage ist nicht fernliegend: Macht es angesichts dieses weitgehenden Urteils überhaupt Sinn, eine gesetzliche Regelung zur Frage des assistierten Suizids vorzunehmen? Ich habe für mich diese Frage zu Beginn dieser Wahlperiode ganz eindeutig mit Ja beantwortet; denn beim assistierten Suizid geht es nicht nur um eine Frage an den Einzelnen, an sein höchstpersönliches Recht. Assistierter Suizid macht auch etwas mit anderen: mit Angehörigen, mit Mitarbeiterinnen und Mitarbeitern von Einrichtungen, von Pflegeeinrichtungen, Ärztinnen und Ärzten und\xa0– ja\xa0– auch mit der Gesellschaft insgesamt. Deshalb ist für mich klar geworden: Wir brauchen wieder eine gesetzliche Regelung.']"
91,698,91_plastikvermüllung_plastikmüll_verpackungsmüll_vermüllung,Plastikmüllreduzierung und Recycling,"['plastikvermüllung', 'plastikmüll', 'verpackungsmüll', 'vermüllung', 'plastiktüten', 'müll', 'verpackungsgesetz', 'umwelt', 'verpackungsverordnung', 'recycling']",['Plastikmüll-Reduktion und Kreislaufwirtschaft'],"['Weltweit gesehen haben wir aber ein massives Entsorgungsproblem bei Plastik. Plastik gerät in die Umwelt, es gerät in die Flüsse, in die Weltmeere, in die Böden. Es belastet unsere Umwelt, tötet Tiere, wird zu wenig gesammelt und recycelt.', 'Meine Damen und Herren, die Weiterentwicklung der Kreislaufwirtschaft ist ein weiterer Schwerpunkt unserer umweltpolitischen Agenda. Wir haben mit dem Verpackungsgesetz, das erst zu Beginn des nächsten Jahres in Kraft tritt, wichtige Fortschritte erreicht. Höhere Sammelquoten werden zu einer weiteren Reduzierung der Abfälle führen, und die zentrale Stelle wird alle Marktbeteiligten, insbesondere Hersteller, Inverkehrbringer und duale Systeme, stärker in die Pflicht nehmen. Parallel dazu erfolgt auch bei der Wirtschaft und beim Handel ein Umdenken. Handel und Hersteller reagieren damit auf ein geändertes Kundenverhalten. Die Initiativen zur Entwicklung besser recycelbarer Verpackungen oder zum vollständigen Verzicht auf Kunststoffverpackungen durch Hersteller und Handel begrüße ich nachdrücklich. Aber dieses Umsteuern ist im Kern der Erfolg unseres Ansatzes der Durchsetzung der Produktverantwortung. Wer Verpackungen herstellt oder in den Verkehr bringt, ist auch für die Entsorgung verantwortlich. Damit werden die Entsorgungskosten Teil des Produktpreises und damit ein Wettbewerbsfaktor. Diese konkrete Anlastung der Entsorgungskosten gelingt uns künftig besser, als das bislang der Fall war, und gerade darauf reagieren Handel und Produzenten.', 'Der Antrag der Grünen bezieht sich auf Deutschland und die EU. Die Europäer sind aber nur für circa 2\xa0Prozent des Plastikmülls in den Weltmeeren verantwortlich. Circa 80\xa0Prozent des weltweiten Plastikmülls werden aus zehn Flüssen in die Weltmeere geschwemmt; acht dieser Flüsse sind in Asien, vier davon in China. In vielen Ländern Asiens sind für große Teile der Bevölkerung nur Produkte aus Plastik bezahlbar. Man kennt das aus Thailand: Schuhe aus Plastik, Möbel aus Plastik, Jacken, Geschirr aus Plastik\xa0– alles aus Plastik. Gleichzeitig gibt es dort keine geregelte Müllentsorgung, wie wir sie in Europa kennen. Der Müll landet dann in den Flüssen oder auf dem Festland. Und genau diese Zustände können wir von Berlin aus nicht ändern.']"
